City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Date
0,Cape Town,ZA,-33.93,18.42,68.0,0,82,12.75,2020-12-18
1,East London,ZA,-33.02,27.91,71.4,100,89,14.0,2020-12-18
2,Port Alfred,ZA,-33.59,26.89,69.01,76,91,4.0,2020-12-18
3,Amapá,BR,1.0,-52.0,77.56,75,80,5.12,2020-12-18
4,Cayenne,GF,4.93,-52.33,80.6,100,88,9.17,2020-12-18
5,Lianyuan,CN,27.69,111.66,40.48,100,69,4.21,2020-12-18
6,Goderich,CA,43.75,-81.72,30.2,96,80,8.05,2020-12-18
7,Katsina,NG,12.99,7.6,69.66,0,23,7.29,2020-12-18
8,Hermanus,ZA,-34.42,19.23,64.99,0,87,10.58,2020-12-18
9,Yar-Sale,RU,66.83,70.83,-16.35,86,86,15.17,2020-12-18
10,Saint-Philippe,RE,-21.36,55.77,77.0,43,73,3.36,2020-12-18
11,Saint-Pierre,RE,-21.34,55.48,77.0,5,73,3.36,2020-12-18
12,Fernley,US,39.61,-119.25,45.0,3,47,3.13,2020-12-18
13,Qaanaaq,GL,77.48,-69.36,0.27,73,86,2.17,2020-12-18
14,Hilo,US,19.73,-155.09,73.4,90,88,7.18,2020-12-18
15,Saldanha,ZA,-33.01,17.94,60.8,0,82,10.29,2020-12-18
16,Mahajanga,MG,-15.72,46.32,80.6,40,83,2.24,2020-12-18
17,Mataura,NZ,-46.19,168.86,69.01,89,66,7.0,2020-12-18
18,Vila Franca do Campo,PT,37.72,-25.43,59.0,75,82,3.36,2020-12-18
19,Haines Junction,CA,60.75,-137.51,-4.0,100,76,2.24,2020-12-18
20,Albany,US,42.6,-73.97,18.0,0,75,3.62,2020-12-18
21,Wanning,CN,18.8,110.4,60.39,62,81,14.74,2020-12-18
22,Ribeira Brava,PT,32.65,-17.07,60.8,20,77,6.93,2020-12-18
23,Ahipara,NZ,-35.17,173.17,70.83,1,54,1.74,2020-12-18
24,Rikitea,PF,-23.12,-134.97,78.3,1,75,18.77,2020-12-18
25,Hobart,AU,-42.88,147.33,57.99,40,53,14.99,2020-12-18
26,Cabo Rojo,PR,18.09,-67.15,75.99,68,93,3.51,2020-12-18
27,Coyhaique,CL,-45.58,-72.07,60.8,75,51,5.82,2020-12-18
28,Benjamin Constant,BR,-4.38,-70.03,77.0,75,83,4.7,2020-12-18
29,Kruisfontein,ZA,-34.0,24.73,64.99,58,83,7.38,2020-12-18
30,Iqaluit,CA,63.75,-68.51,-7.01,20,69,19.46,2020-12-18
31,Ibiá,BR,-19.48,-46.54,69.8,77,94,5.82,2020-12-18
32,Gerāsh,IR,27.67,54.14,53.6,0,81,4.63,2020-12-18
34,Punta Arenas,CL,-53.15,-70.92,51.8,75,76,16.11,2020-12-18
36,Ilulissat,GL,69.22,-51.1,17.6,75,78,3.36,2020-12-18
37,Nouakchott,MR,18.09,-15.98,71.6,0,28,13.87,2020-12-18
38,Puerto Madryn,AR,-42.77,-65.04,77.04,95,28,13.85,2020-12-18
39,Port Moresby,PG,-9.44,147.18,78.8,75,94,3.36,2020-12-18
40,Salgar,CO,5.96,-75.97,66.2,40,72,6.93,2020-12-18
41,Saint George,US,37.1,-113.58,54.0,1,34,5.82,2020-12-18
42,Araouane,ML,18.9,-3.53,68.92,0,25,9.1,2020-12-18
43,Tuktoyaktuk,CA,69.45,-133.04,-22.0,75,74,6.93,2020-12-18
44,Ushuaia,AR,-54.8,-68.3,48.2,75,57,8.05,2020-12-18
45,Xining,CN,36.62,101.77,10.83,100,86,2.51,2020-12-18
46,General Roca,AR,-39.03,-67.58,71.6,0,43,4.7,2020-12-18
47,Yaring,TH,6.87,101.37,76.73,100,83,4.25,2020-12-18
48,Chulym,RU,55.1,80.96,16.93,100,95,20.27,2020-12-18
49,Clyde River,CA,70.47,-68.59,-13.0,40,75,4.7,2020-12-18
50,Tasiilaq,GL,65.61,-37.64,23.0,100,53,3.36,2020-12-18
51,Kavaratti,IN,10.57,72.64,82.38,61,72,7.63,2020-12-18
52,Tuatapere,NZ,-46.13,167.68,69.01,72,66,7.0,2020-12-18
54,Lagoa,PT,39.05,-27.98,60.62,96,70,16.13,2020-12-18
55,Zhezkazgan,KZ,47.8,67.71,4.86,100,93,7.34,2020-12-18
56,Americana,BR,-22.74,-47.33,78.01,75,69,11.41,2020-12-18
57,Upernavik,GL,72.79,-56.15,8.74,100,92,11.7,2020-12-18
58,Havøysund,NO,71.0,24.66,24.8,0,79,10.29,2020-12-18
59,Meulaboh,ID,4.14,96.13,75.38,100,90,5.01,2020-12-18
60,New Norfolk,AU,-42.78,147.06,57.99,78,56,1.99,2020-12-18
61,Chui,UY,-33.7,-53.46,73.08,20,77,15.66,2020-12-18
62,Canandaigua,US,42.87,-77.29,19.99,43,81,4.0,2020-12-18
63,Kirakira,SB,-10.45,161.92,85.28,34,68,1.23,2020-12-18
64,Klyuchi,RU,52.27,79.17,17.92,100,92,14.79,2020-12-18
65,Kapaa,US,22.08,-159.32,80.6,75,74,16.11,2020-12-18
66,Saskylakh,RU,71.92,114.08,-26.39,95,84,8.5,2020-12-18
67,Nyurba,RU,63.28,118.33,-28.14,80,85,3.42,2020-12-18
68,Nikolskoye,RU,59.7,30.79,32.0,90,97,8.95,2020-12-18
69,Henties Bay,NA,-22.12,14.28,63.0,51,87,4.83,2020-12-18
70,Fort Morgan,US,40.25,-103.8,39.2,75,55,17.22,2020-12-18
71,Burgeo,CA,47.62,-57.62,31.55,50,93,18.95,2020-12-18
72,Taltal,CL,-25.4,-70.48,66.29,23,65,7.09,2020-12-18
73,Carnarvon,AU,-24.87,113.63,73.4,0,83,20.8,2020-12-18
74,Bluff,NZ,-46.6,168.33,69.01,84,66,7.0,2020-12-18
75,Vaini,TO,-21.2,-175.2,78.8,90,94,13.87,2020-12-18
76,Yellowknife,CA,62.46,-114.35,-38.2,40,65,5.82,2020-12-18
77,Sakakah,SA,29.97,40.21,55.4,0,66,2.21,2020-12-18
78,Busselton,AU,-33.65,115.33,61.0,0,78,8.63,2020-12-18
79,Ostrovnoy,RU,68.05,39.51,22.12,99,88,31.83,2020-12-18
81,Atuona,PF,-9.8,-139.03,78.8,94,72,15.14,2020-12-18
82,Thompson,CA,55.74,-97.86,-9.4,75,69,13.87,2020-12-18
83,Pudozh,RU,61.81,36.53,14.43,98,94,7.43,2020-12-18
85,Torbay,CA,47.67,-52.73,32.0,90,99,14.99,2020-12-18
86,Butaritari,KI,3.07,172.79,81.48,35,83,13.42,2020-12-18
87,Fairbanks,US,64.84,-147.72,-15.0,40,68,4.34,2020-12-18
88,Cidreira,BR,-30.18,-50.21,73.15,0,82,17.13,2020-12-18
89,Biak,ID,-0.91,122.88,77.74,100,84,2.86,2020-12-18
90,Castro,BR,-24.79,-50.01,68.61,5,91,3.96,2020-12-18
91,Puerto Ayora,EC,-0.74,-90.35,77.0,0,78,21.92,2020-12-18
92,Saint-Paul,RE,-21.01,55.27,75.2,30,88,8.05,2020-12-18
93,Ancud,CL,-41.87,-73.82,60.8,20,59,10.29,2020-12-18
94,Lakhīmpur,IN,27.95,80.77,47.88,0,49,6.71,2020-12-18
95,Vila Velha,BR,-20.33,-40.29,79.0,75,83,14.99,2020-12-18
96,Lima,PE,-12.04,-77.03,69.8,40,77,16.11,2020-12-18
97,Padang,ID,-0.95,100.35,76.64,95,75,3.56,2020-12-18
98,Avarua,CK,-21.21,-159.78,78.8,100,88,8.05,2020-12-18
100,Kahului,US,20.89,-156.47,82.4,40,54,23.04,2020-12-18
101,Lincoln,US,40.8,-96.67,43.0,1,56,8.05,2020-12-18
102,Zalţan,LY,32.95,11.87,61.65,9,58,18.79,2020-12-18
103,Bethel,US,41.37,-73.41,23.0,0,90,1.99,2020-12-18
104,Pevek,RU,69.7,170.31,1.6,20,93,3.53,2020-12-18
105,Constitución,CL,-35.33,-72.42,59.22,34,78,10.85,2020-12-18
106,Jamestown,US,42.1,-79.24,27.0,1,85,5.82,2020-12-18
107,Port Elizabeth,ZA,-33.92,25.57,69.8,46,77,10.29,2020-12-18
108,Bud,US,39.45,-86.18,37.0,83,77,7.31,2020-12-18
109,Camacha,PT,33.08,-16.33,60.8,20,77,6.93,2020-12-18
111,Changuinola,PA,9.43,-82.52,80.67,76,71,5.59,2020-12-18
112,Chokurdakh,RU,70.63,147.92,-11.15,91,91,7.9,2020-12-18
113,Salinópolis,BR,-0.61,-47.36,81.1,24,79,11.99,2020-12-18
114,Samarai,PG,-10.62,150.67,83.05,99,70,2.59,2020-12-18
115,Lázaro Cárdenas,MX,17.96,-102.2,83.19,0,54,11.36,2020-12-18
116,Farafangana,MG,-22.82,47.83,76.62,92,88,9.26,2020-12-18
117,Linhares,BR,-19.39,-40.07,74.88,22,85,5.77,2020-12-18
118,Zhigansk,RU,66.77,123.37,-40.0,96,81,7.54,2020-12-18
119,Hithadhoo,MV,-0.6,73.08,82.04,0,70,8.41,2020-12-18
120,Man,CI,7.41,-7.55,72.12,100,90,0.4,2020-12-18
121,Beringovskiy,RU,63.05,179.32,12.54,100,93,16.71,2020-12-18
122,Ambon City,ID,-3.7,128.18,78.8,40,88,3.36,2020-12-18
123,Chivasso,IT,45.19,7.89,42.01,75,86,3.36,2020-12-18
124,Novopokrovka,UA,49.84,36.55,30.2,75,92,4.47,2020-12-18
125,Codrington,AU,-38.27,141.97,54.93,100,69,5.12,2020-12-18
126,Baker City,US,44.77,-117.83,39.2,75,64,3.36,2020-12-18
127,Port Lincoln,AU,-34.73,135.87,60.93,22,64,8.19,2020-12-18
128,Yerbogachën,RU,61.28,108.01,7.0,100,94,7.02,2020-12-18
129,Qui Nhon,VN,13.77,109.23,73.96,100,87,21.25,2020-12-18
130,Mercedes,AR,-34.65,-59.43,90.0,28,37,5.99,2020-12-18
131,Mugur-Aksy,RU,50.35,90.5,-1.03,27,76,5.55,2020-12-18
132,Port Said,EG,31.26,32.28,64.4,20,88,5.82,2020-12-18
133,Katangli,RU,51.71,143.23,0.0,100,87,17.36,2020-12-18
134,Arraial do Cabo,BR,-22.97,-42.03,78.8,20,83,3.36,2020-12-18
135,Udachny,RU,66.42,112.4,-25.6,90,74,2.24,2020-12-18
136,Avera,US,33.19,-82.53,50.0,1,46,3.36,2020-12-18
137,Wewak,PG,-3.55,143.63,80.71,89,81,4.65,2020-12-18
138,Pamanukan,ID,-6.28,107.81,75.56,91,82,3.8,2020-12-18
139,Dikson,RU,73.51,80.55,-20.0,100,89,7.67,2020-12-18
140,Lüderitz,NA,-26.65,15.16,59.0,0,87,12.75,2020-12-18
141,Talnakh,RU,69.49,88.4,-7.6,75,76,6.71,2020-12-18
142,Makarov,RU,48.63,142.8,11.73,100,92,9.89,2020-12-18
143,Guozhen,CN,34.37,107.36,31.86,100,80,1.59,2020-12-18
144,Sitka,US,57.05,-135.33,42.8,90,81,12.75,2020-12-18
145,Dzhebariki-Khaya,RU,62.22,135.8,-43.15,100,78,1.28,2020-12-18
146,Provideniya,RU,64.38,-173.3,1.98,50,91,18.05,2020-12-18
147,Cabo San Lucas,MX,22.89,-109.91,77.0,40,57,12.75,2020-12-18
148,Mahébourg,MU,-20.41,57.7,75.2,40,88,5.82,2020-12-18
149,Wetaskiwin,CA,52.97,-113.37,19.4,75,67,10.29,2020-12-18
150,Karaton,ID,-6.34,106.1,78.01,20,88,6.93,2020-12-18
151,Naples,IT,40.83,14.25,53.01,95,86,2.24,2020-12-18
153,Debre Tabor,ET,11.85,38.02,50.86,9,50,2.13,2020-12-18
154,Alofi,NU,-19.06,-169.92,84.2,75,79,9.17,2020-12-18
155,Lompoc,US,34.64,-120.46,63.0,1,51,13.87,2020-12-18
156,Auraiya,IN,26.47,79.52,49.87,0,45,5.53,2020-12-18
157,Maxixe,MZ,-23.86,35.35,75.81,100,84,10.09,2020-12-18
158,Buraidah,SA,26.33,43.98,57.2,40,71,10.29,2020-12-18
160,Illela,NG,13.73,5.3,74.16,0,19,9.04,2020-12-18
161,Kushmurun,KZ,52.45,64.63,18.5,100,97,13.82,2020-12-18
162,Moindou,NC,-21.69,165.68,82.4,20,51,9.17,2020-12-18
163,Blora,ID,-6.97,111.42,72.19,100,90,5.01,2020-12-18
164,Hongjiang,CN,27.11,110.0,40.95,100,69,3.76,2020-12-18
165,Ribeira Grande,PT,38.52,-28.7,60.8,75,72,13.87,2020-12-18
166,Phalombe,MW,-15.81,35.65,70.9,81,80,2.35,2020-12-18
167,Severo-Kuril'sk,RU,50.68,156.12,27.16,17,92,6.35,2020-12-18
168,Saint Paul Harbor,US,57.79,-152.41,24.8,1,85,4.7,2020-12-18
169,Valle d'Aosta,IT,45.77,7.42,36.0,16,82,1.01,2020-12-18
170,Hong Kong,HK,22.29,114.16,55.99,35,71,1.01,2020-12-18
171,Lebu,CL,-37.62,-73.65,56.7,51,80,11.65,2020-12-18
172,Liverpool,GB,53.41,-2.98,55.4,40,87,18.34,2020-12-18
173,Yangambi,CD,0.81,24.43,70.32,100,93,2.71,2020-12-18
174,Kingsburg,US,36.51,-119.55,53.6,1,93,4.7,2020-12-18
175,Namatanai,PG,-3.67,152.43,82.06,70,78,8.1,2020-12-18
176,Kaitangata,NZ,-46.28,169.85,64.99,98,72,1.99,2020-12-18
177,Burns Lake,CA,54.23,-125.75,33.8,100,86,2.24,2020-12-18
178,Mapimí,MX,25.82,-103.85,78.8,40,19,3.36,2020-12-18
179,Mairi,BR,-11.71,-40.15,76.8,45,66,7.43,2020-12-18
180,Düsseldorf,DE,51.22,6.78,46.0,0,87,14.99,2020-12-18
181,Pisco,PE,-13.7,-76.22,71.6,0,78,20.8,2020-12-18
182,Caxito,AO,-8.58,13.66,75.2,20,83,5.82,2020-12-18
184,Ramygala,LT,55.52,24.3,41.0,90,93,3.36,2020-12-18
185,Fortuna,US,40.6,-124.16,57.0,1,81,4.7,2020-12-18
186,Mandurah,AU,-32.55,115.7,66.99,0,54,4.94,2020-12-18
187,Laguna,US,38.42,-121.42,57.99,1,43,3.36,2020-12-18
188,Moroto,UG,2.53,34.67,69.94,56,40,7.16,2020-12-18
189,São Filipe,CV,14.9,-24.5,73.42,21,73,10.78,2020-12-18
190,Leshukonskoye,RU,64.9,45.76,8.13,18,95,5.1,2020-12-18
191,Kurya,RU,51.6,82.29,21.43,91,84,25.17,2020-12-18
192,Quilmaná,PE,-12.95,-76.38,70.54,95,73,7.45,2020-12-18
193,Lorengau,PG,-2.02,147.27,84.16,81,77,10.18,2020-12-18
194,San Cristobal,VE,7.77,-72.22,82.4,40,69,8.05,2020-12-18
195,Poum,NC,-20.23,164.02,79.05,100,69,13.24,2020-12-18
196,Tiznit Province,MA,29.58,-9.5,55.13,0,70,0.69,2020-12-18
197,Diébougou,BF,10.97,-3.25,79.34,46,17,2.98,2020-12-18
198,Rocha,UY,-34.48,-54.33,76.8,97,63,14.29,2020-12-18
199,Labuhan,ID,-6.88,112.21,76.37,100,83,7.38,2020-12-18
200,Broken Hill,AU,-31.95,141.43,64.4,100,31,14.99,2020-12-18
201,Antofagasta,CL,-23.65,-70.4,66.2,90,77,17.22,2020-12-18
202,Mobile,US,30.78,-88.2,55.99,1,37,4.7,2020-12-18
203,Hendersonville,US,36.3,-86.62,43.0,75,52,6.93,2020-12-18
204,Bredasdorp,ZA,-34.53,20.04,66.2,9,82,5.82,2020-12-18
205,Carlisle,US,40.2,-77.19,28.99,40,76,5.01,2020-12-18
206,Tromsø,NO,69.65,18.96,24.01,0,79,6.93,2020-12-18
207,Kaoma,ZM,-14.78,24.8,65.82,100,95,4.05,2020-12-18
208,Suksun,RU,57.14,57.39,3.31,88,92,8.3,2020-12-18
209,Leningradskiy,RU,69.38,178.42,11.88,100,94,21.47,2020-12-18
210,Mildura,AU,-34.2,142.15,68.0,96,36,10.29,2020-12-18
211,San Patricio,US,28.02,-97.52,69.8,90,73,16.11,2020-12-18
212,Shimoda,JP,34.67,138.95,39.99,8,76,1.01,2020-12-18
213,Dhārchula,IN,29.85,80.53,41.92,0,39,7.87,2020-12-18
214,Balky,UA,47.38,34.94,28.4,90,92,0.98,2020-12-18
215,Mayo,US,38.89,-76.51,36.0,75,80,9.17,2020-12-18
216,Bourail,NC,-21.57,165.48,79.5,76,59,2.8,2020-12-18
217,Dunedin,NZ,-45.87,170.5,65.62,98,59,3.74,2020-12-18
218,Kushva,RU,58.29,59.76,5.56,0,90,5.21,2020-12-18
219,Watsonville,US,36.91,-121.76,60.8,1,44,2.04,2020-12-18
220,Bathsheba,BB,13.22,-59.52,80.6,40,78,17.22,2020-12-18
221,Moosomin,CA,50.13,-101.67,3.2,13,90,9.95,2020-12-18
222,Kumul,CN,42.8,93.45,15.03,0,77,1.41,2020-12-18
223,Cherskiy,RU,68.75,161.3,-24.18,14,87,4.79,2020-12-18
224,Muisne,EC,0.6,-80.03,78.8,75,83,14.99,2020-12-18
225,Turukhansk,RU,65.82,87.98,-12.77,100,90,5.88,2020-12-18
226,Los Llanos de Aridane,ES,28.66,-17.92,66.2,90,63,5.82,2020-12-18
227,Chicama,PE,-7.84,-79.15,68.0,40,82,12.75,2020-12-18
228,Stepnogorsk,KZ,52.35,71.89,10.99,100,91,19.19,2020-12-18
229,Kogon,UZ,39.72,64.55,37.4,40,93,9.17,2020-12-18
230,Honiara,SB,-9.43,159.95,87.8,20,70,4.7,2020-12-18
231,Conakry,GN,9.54,-13.68,81.5,0,67,4.76,2020-12-18
232,Khatanga,RU,71.97,102.5,-16.2,100,88,9.86,2020-12-18
233,Puro,PH,12.48,123.38,78.42,100,86,21.05,2020-12-18
234,Betafo,MG,-19.83,46.85,65.23,80,82,0.38,2020-12-18
235,Mar del Plata,AR,-38.0,-57.56,73.4,40,73,9.17,2020-12-18
236,Gushikawa,JP,26.35,127.87,64.4,90,93,4.7,2020-12-18
237,Sai Buri,TH,6.7,101.62,76.84,100,85,5.55,2020-12-18
238,Boffa,GN,10.17,-14.03,76.15,6,71,1.34,2020-12-18
239,Ugoofaaru,MV,5.67,73.0,81.88,92,78,14.63,2020-12-18
240,Kayerkan,RU,69.35,87.76,-7.6,75,76,6.71,2020-12-18
241,Eyl,SO,7.98,49.82,77.77,49,78,18.81,2020-12-18
242,Horsham,GB,51.06,-0.33,52.0,20,87,11.41,2020-12-18
243,Barrow,US,71.29,-156.79,-7.6,1,76,18.34,2020-12-18
244,Beloha,MG,-25.17,45.05,73.65,61,82,3.85,2020-12-18
245,Ullapool,GB,57.9,-5.16,46.99,81,49,7.0,2020-12-18
246,Te Anau,NZ,-45.42,167.72,59.2,99,85,6.02,2020-12-18
247,Lac du Bonnet,CA,50.25,-96.06,10.0,99,71,17.22,2020-12-18
248,Tiksi,RU,71.69,128.87,-18.94,100,88,8.39,2020-12-18
249,Oodweyne,SO,9.41,45.06,70.86,54,67,5.77,2020-12-18
250,Montgomery,US,39.15,-77.2,35.01,90,74,6.67,2020-12-18
251,Bucu,RO,44.61,27.49,39.2,90,93,4.7,2020-12-18
252,Isangel,VU,-19.55,169.27,80.01,1,65,10.98,2020-12-18
253,George Town,MY,5.41,100.34,77.0,20,88,4.7,2020-12-18
254,Kenai,US,60.55,-151.26,21.0,75,78,3.33,2020-12-18
255,Karratha,AU,-20.74,116.85,86.97,2,35,11.74,2020-12-18
256,North Bend,US,43.41,-124.22,52.0,40,71,12.75,2020-12-18
257,Itaituba,BR,-4.28,-55.98,86.0,40,70,1.45,2020-12-18
258,Davila,PH,18.47,120.58,80.6,75,78,11.41,2020-12-18
259,Lesosibirsk,RU,58.24,92.48,17.24,100,95,8.72,2020-12-18
260,Cardoso,BR,-20.08,-49.91,78.98,78,71,8.01,2020-12-18
261,Kavieng,PG,-2.57,150.8,84.07,97,76,10.98,2020-12-18
262,Sørland,NO,67.67,12.69,35.6,40,72,2.24,2020-12-18
263,Lavrentiya,RU,65.58,-171.0,4.86,100,90,18.32,2020-12-18
264,Igarka,RU,67.47,86.58,-9.08,95,90,6.31,2020-12-18
265,Dmitriyevka,RU,54.75,55.33,19.4,90,85,17.9,2020-12-18
266,Tessalit,ML,20.2,1.01,68.61,52,23,8.39,2020-12-18
267,Aklavik,CA,68.22,-135.01,-29.2,90,73,5.82,2020-12-18
268,Ponta do Sol,PT,32.67,-17.1,60.8,20,77,6.93,2020-12-18
270,Malabang,PH,7.59,124.07,76.3,35,83,6.82,2020-12-18
271,Evanston,US,42.04,-87.69,36.0,40,69,14.99,2020-12-18
272,Nago,JP,26.59,127.98,64.4,90,93,4.7,2020-12-18
273,Longyearbyen,SJ,78.22,15.64,8.6,75,65,11.41,2020-12-18
274,Souillac,MU,-20.52,57.52,75.2,40,88,5.82,2020-12-18
275,Bayburt,TR,40.26,40.23,27.46,34,77,2.59,2020-12-18
276,Portland,US,45.52,-122.68,52.0,100,71,4.0,2020-12-18
277,São João da Barra,BR,-21.64,-41.05,78.8,40,78,14.99,2020-12-18
278,Noyabrsk,RU,63.2,75.45,-20.33,83,88,11.9,2020-12-18
279,Klaksvík,FO,62.23,-6.59,46.4,100,93,19.46,2020-12-18
280,Gillette,US,44.29,-105.5,37.4,1,55,6.93,2020-12-18
281,Flinders,AU,-34.58,150.86,66.0,92,76,4.0,2020-12-18
282,Noumea,NC,-22.28,166.46,82.99,20,51,9.17,2020-12-18
283,Wilmington,US,34.23,-77.94,46.4,1,49,6.93,2020-12-18
284,Rivadavia,AR,-33.19,-68.46,77.0,0,31,19.46,2020-12-18
285,Sittwe,MM,20.15,92.9,64.6,45,64,8.5,2020-12-18
286,Naze,JP,28.37,129.48,57.2,75,93,14.99,2020-12-18
287,Vieques,PR,18.43,-65.83,80.6,40,78,9.17,2020-12-18
288,Ulladulla,AU,-35.35,150.47,64.4,90,72,8.05,2020-12-18
